Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att,po,a,e,fld%
Cody Den Beste,.364,56-56,214,37,78,16,7,4,36,120,.561,13,17,30,2,.437,3,0,12-17,151,5,5,.969
Avery Williams,.321,44-31,134,27,43,10,4,2,22,67,.500,12,5,38,0,.390,3,0,5-6,71,4,4,.949
Carson Lee,.290,46-40,155,20,45,4,0,0,14,49,.316,14,3,28,2,.358,1,0,1-4,232,7,5,.980
Corbin Jamison,.289,51-51,194,32,56,11,3,3,27,82,.423,10,8,52,2,.346,2,5,15-20,107,2,3,.973
Kevin Macias,.282,53-50,170,31,48,3,1,0,12,53,.312,27,5,35,0,.396,0,4,7-8,118,119,11,.956
Steven Williams,.278,38-38,144,18,40,3,1,2,23,51,.354,10,1,34,2,.325,2,2,1-3,27,4,1,.969
Xavier Jefferson,.269,38-30,108,22,29,4,1,3,21,44,.407,13,0,27,0,.347,0,1,4-8,29,2,1,.969
Tyrone Thomas,.260,44-35,131,9,34,4,0,0,10,38,.290,12,2,19,3,.331,0,2,0-0,22,62,8,.913
Jalyn Baker,.244,41-36,131,17,32,2,0,2,15,40,.305,13,2,23,1,.322,0,1,7-11,171,33,7,.967
Nathan Carter,.235,34-30,98,10,23,2,0,0,13,25,.255,8,6,29,0,.322,3,2,1-3,133,21,5,.969
Brashad Jones,.215,32-19,65,6,14,3,0,0,5,17,.262,3,1,13,1,.261,0,3,2-2,43,54,3,.970
Tyler Gordon,.200,40-34,95,16,19,1,0,0,11,20,.211,20,8,22,1,.379,1,5,5-5,191,26,6,.973
Josh Wells,.167,3-1,6,0,1,0,0,0,0,1,.167,0,0,2,0,.167,0,0,0-0,8,0,0,1.000
Anthony Fernandez,.150,17-7,40,5,6,1,0,0,3,7,.175,0,0,7,0,.146,1,0,1-1,3,1,0,1.000
Kaylor Lewis,.143,25-21,63,6,9,1,0,0,4,10,.159,4,1,23,0,.206,0,3,0-1,12,26,5,.884
Andrew Garcia,.126,35-32,103,6,13,1,0,0,8,14,.136,9,0,35,0,.195,1,4,0-1,57,81,11,.926
Thi Mai,.000,7-2,14,1,0,0,0,0,0,0,.000,0,0,5,0,.000,0,0,0-0,22,3,0,1.000
Josh Jefferson,.000,2-0,2,0,0,0,0,0,0,0,.000,0,0,1,0,.000,0,0,0-0,0,0,0,.000
Darrien Williams,.000,1-0,1,0,0,0,0,0,0,0,.000,0,0,1,0,.000,0,0,0-0,2,11,2,.867
Totals,.262,57-57,1868,263,490,66,17,16,224,638,.342,168,59,424,14,.339,17,32,61-90,1414,510,91,.955
Opponents,.318,57-57,1910,481,608,139,16,47,416,920,.482,311,81,327,15,.428,34,33,124-153,1456,654,90,.959
