##,Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb,sba,po,a,e,fld%
11,"Jimenez, Gerrek",0.315,47-35,143,22,45,6,2,0,18,55,0.385,14,3,27,2,0.388,0,0,14,16,38,64,6,0.944
21,"Lucca, Gaudencio",0.314,53-49,175,37,55,13,5,6,29,96,0.549,38,10,37,1,0.46,1,2,11,13,290,57,5,0.986
20,"Sanchez, Christian",0.299,42-39,137,17,41,10,0,5,30,66,0.482,12,5,27,0,0.372,2,0,7,9,105,5,5,0.957
35,"Motley, Sterling",0.295,28-13,61,3,18,1,0,0,3,19,0.311,0,1,13,2,0.302,1,0,0,0,13,0,0,1
7,"Dukes, Kamren",0.292,52-51,195,38,57,9,3,2,30,78,0.4,31,6,43,3,0.405,0,3,16,25,151,2,4,0.975
6,"Camacho, Jose",0.284,53-51,201,30,57,11,2,5,27,87,0.433,18,3,24,1,0.347,3,1,7,12,115,44,9,0.946
4,"Alamo, Richard",0.248,38-33,125,23,31,3,0,0,12,34,0.272,20,1,27,1,0.354,1,1,12,14,44,90,15,0.899
37,"Hicks, Blake",0.241,40-35,133,14,32,10,0,3,22,51,0.383,8,5,31,1,0.304,2,1,1,2,94,18,0,1
22,"Oloruntimilehin, Olajide",0.236,52-48,182,33,43,6,0,9,31,76,0.418,16,7,63,0,0.32,1,0,22,24,105,5,4,0.965
15,"Cabreja, Jose",0.235,42-17,85,15,20,3,0,0,7,23,0.271,6,4,10,0,0.316,0,1,8,10,46,10,1,0.982
10,"Urbano, Ricky",0.22,28-12,50,3,11,1,0,0,4,12,0.24,4,1,14,0,0.291,0,1,0,1,59,13,1,0.986
14,"Leblanc, Horace",0.215,50-46,149,17,32,4,1,0,18,38,0.255,22,4,31,1,0.328,2,5,2,5,77,120,9,0.956
23,"Guillory, Charles",0.11,36-29,91,11,10,1,0,2,9,17,0.187,13,1,30,1,0.226,1,3,1,1,175,25,6,0.971
29,"Jackson, Ryan",0.171,32-8,35,5,6,0,0,0,3,6,0.171,5,0,12,0,0.275,0,2,0,1,23,1,0,1
19,"Thomas, Jeremy",0.152,19-10,33,4,5,1,0,0,1,6,0.182,3,0,20,0,0.222,0,1,1,1,12,0,0,1
30,"Moore, Andre",0.103,28-10,39,3,4,0,0,0,0,4,0.103,3,3,15,0,0.222,0,0,4,5,26,1,3,0.9
